language,our_family,glottocode,glottolog_name,glottolog_family,status
Makasae,Papuan (geographic cover term — several unrelated families),maka1316,Makasae-Makalero,Timor-Alor-Pantar,MANUAL
Angaataha,Papuan (geographic cover term — several unrelated families),anga1290,Angaataha,Angan,AREAL
Enga,Papuan (geographic cover term — several unrelated families),enga1252,Enga,Nuclear Trans New Guinea,AREAL
Nii,Papuan (geographic cover term — several unrelated families),niii1240,Nii,Nuclear Trans New Guinea,AREAL
Aimele,Papuan (geographic cover term — several unrelated families),aime1238,Aimele,Bosavi,AREAL
Ama,Papuan (geographic cover term — several unrelated families),amas1236,Ama (Sudan),Nyimang,AREAL
Kamasau,Papuan (geographic cover term — several unrelated families),kama1367,Kamasau,Nuclear Torricelli,AREAL
Murik (New Guinea),Papuan (geographic cover term — several unrelated families),muri1260,Murik (Papua New Guinea),Lower Sepik,AREAL
Sougb,Papuan (geographic cover term — several unrelated families),mani1235,Sougb,East Bird's Head,AREAL
Tamil,Dravidian,tami1289,Tamil,Dravidian,OK
Malayalam,Dravidian,mala1464,Malayalam,Dravidian,OK
Kannada,Dravidian,nucl1305,Kannada,Dravidian,OK
Badaga,Dravidian,bada1257,Badaga,Dravidian,OK
Tulu,Dravidian,tulu1258,Tulu,Dravidian,OK
Telugu,Dravidian,telu1262,Telugu,Dravidian,OK
Georgian,Kartvelian,nucl1302,Georgian,Kartvelian,OK
Laz,Kartvelian,lazz1240,Laz,Kartvelian,OK
Mingrelian,Kartvelian,ming1252,Mingrelian,Kartvelian,OK
Svan,Kartvelian,svan1243,Svan,Kartvelian,OK
Abkhaz,Northwest Caucasian,abkh1244,Abkhaz,Abkhaz-Adyge,OK
East Circassian (Kabardian),Northwest Caucasian,kaba1278,Kabardian,Abkhaz-Adyge,MANUAL
West Circassian,Northwest Caucasian,adyg1241,West Circassian,Abkhaz-Adyge,OK
Chechen,Northeast Caucasian (Nakh-Daghestanian),chec1245,Chechen,Nakh-Daghestanian,OK
Ingush,Northeast Caucasian (Nakh-Daghestanian),ingu1240,Ingush,Nakh-Daghestanian,OK
Bats,Northeast Caucasian (Nakh-Daghestanian),bats1242,Bats,Nakh-Daghestanian,OK
Avar,Northeast Caucasian (Nakh-Daghestanian),avar1256,Avar,Nakh-Daghestanian,OK
Andi,Northeast Caucasian (Nakh-Daghestanian),andi1255,Andi,Nakh-Daghestanian,OK
Dargwa,Northeast Caucasian (Nakh-Daghestanian),darg1241,North-Central Dargwa,Nakh-Daghestanian,MANUAL
Kaitag,Northeast Caucasian (Nakh-Daghestanian),kajt1238,Kajtak,Nakh-Daghestanian,MANUAL
Lak,Northeast Caucasian (Nakh-Daghestanian),lakk1252,Lak,Nakh-Daghestanian,OK
Lezgi,Northeast Caucasian (Nakh-Daghestanian),lezg1247,Lezgian,Nakh-Daghestanian,MANUAL
Tabasaran,Northeast Caucasian (Nakh-Daghestanian),taba1259,Tabasaran,Nakh-Daghestanian,OK
Rutul,Northeast Caucasian (Nakh-Daghestanian),rutu1240,Rutul,Nakh-Daghestanian,OK
Tsakhur,Northeast Caucasian (Nakh-Daghestanian),tsak1249,Tsakhur,Nakh-Daghestanian,OK
Budukh,Northeast Caucasian (Nakh-Daghestanian),budu1248,Budukh,Nakh-Daghestanian,OK
Archi,Northeast Caucasian (Nakh-Daghestanian),arch1244,Archi,Nakh-Daghestanian,OK
Ket,Yeniseian,kett1243,Ket,Yeniseian,OK
Pumpokol,Yeniseian,pump1237,Pumpokol,Yeniseian,OK
Chukchi,Chukotko-Kamchatkan,chuk1273,Chukchi,Chukotko-Kamchatkan,OK
Itelmen,Chukotko-Kamchatkan,itel1242,West Itelmen,Chukotko-Kamchatkan,MANUAL
Greenlandic,Eskimo-Aleut,kala1399,Kalaallisut,Eskimo-Aleut,MANUAL
Inuktitut,Eskimo-Aleut,east2534,Eastern Canadian Inuktitut,Eskimo-Aleut,MANUAL
Yup'ik,Eskimo-Aleut,yupi1267,Yupik,Eskimo-Aleut,OK
Northern Yukaghir,Yukaghir,nort2745,Northern Yukaghir,Yukaghir,OK
Old Japanese,Japonic,oldj1239,Old Japanese,Japonic,OK
Japanese,Japonic,nucl1643,Japanese,Japonic,OK
Korean,Koreanic,kore1280,Korean,Koreanic,OK
Ainu,Isolates,ainu1251,Ainu (China),Turkic,AREAL
Basque,Isolates,basq1248,Basque,(isolate),OK
Etruscan,Isolates,etru1241,Etruscan,(isolate),OK
Mapudungun,Isolates,mapu1245,Mapudungun,Araucanian,AREAL
Nivkh,Isolates,nivk1234,Nivkh,Nivkh,AREAL
Sumerian,Isolates,sume1241,Sumerian,(isolate),OK
Yámana,Isolates,yama1264,Yámana,(isolate),OK
Xhosa,Niger-Congo,xhos1239,Xhosa,Atlantic-Congo,OK
Zulu,Niger-Congo,zulu1248,Zulu,Atlantic-Congo,OK
Sotho,Niger-Congo,sout2807,Southern Sotho,Atlantic-Congo,MANUAL
Tswana,Niger-Congo,tswa1253,Tswana,Atlantic-Congo,OK
Boloki,Niger-Congo,bolo1262,Boloki,Atlantic-Congo,OK
Chichewa,Niger-Congo,nyan1308,Nyanja,Atlantic-Congo,MANUAL
Kikuyu,Niger-Congo,kiku1240,Kikuyu,Atlantic-Congo,OK
Kitembo,Niger-Congo,temb1270,Tembo (Kitembo),Atlantic-Congo,MANUAL
Lingala,Niger-Congo,ling1263,Kinshasa Lingala,Atlantic-Congo,MANUAL
Mwani,Niger-Congo,mwan1247,Mwani,Atlantic-Congo,OK
Shona,Niger-Congo,shon1251,Shona,Atlantic-Congo,OK
Swahili,Niger-Congo,swah1253,Swahili,Atlantic-Congo,OK
Tumbuka,Niger-Congo,tumb1250,Tumbuka,Atlantic-Congo,OK
Akan,Niger-Congo,akan1250,Akan,Atlantic-Congo,OK
Igbo,Niger-Congo,nucl1417,Igbo,Atlantic-Congo,OK
Nkonya,Niger-Congo,nkon1248,Nkonya,Atlantic-Congo,OK
Yoruba,Niger-Congo,yoru1245,Yoruba,Atlantic-Congo,OK
Farefare,Niger-Congo,fare1241,Farefare,Atlantic-Congo,OK
Moore,Niger-Congo,moss1236,Mossi,Atlantic-Congo,MANUAL
Nafaanra,Niger-Congo,nafa1258,Nafanan,Atlantic-Congo,MANUAL
Wolof,Niger-Congo,nucl1347,Wolof,Atlantic-Congo,OK
Duun,Niger-Congo,duun1245,Duun,Mande,DIFERE
Samo,Niger-Congo,mand1437,Mande Samo,Mande,MANUAL
Sango,Niger-Congo,sang1328,Sango,Atlantic-Congo,OK
Kanuri,Saharan (Nilo-Saharan),cent2050,Central Kanuri,Saharan,MANUAL
ǃKung,"Khoisan (areal grouping, not a genetic family)",kung1260,Kung,Atlantic-Congo,AREAL
ǃXóõ,"Khoisan (areal grouping, not a genetic family)",huaa1248,East Taa,Tuu,MANUAL
Cheyenne,Americas,chey1247,Cheyenne,Algic,AREAL
Cree,Americas,cree1272,Cree,Algic,AREAL
Mohegan-Pequot,Americas,pequ1242,Pequot-Mohegan,Algic,MANUAL
Nanticoke,Americas,nant1249,Nanticoke,Algic,AREAL
Ojibwe,Americas,ojib1241,Ojibwa,Algic,MANUAL
Navajo,Americas,nava1243,Navajo,Athabaskan-Eyak-Tlingit,AREAL
Tlingit,Americas,tlin1245,Tlingit,Athabaskan-Eyak-Tlingit,AREAL
Central Nahuatl,Americas,cent2258,Central Nahuatl,Uto-Aztecan,AREAL
Classical Nahuatl,Americas,clas1250,Classical Nahuatl,Uto-Aztecan,AREAL
Pipil,Americas,pipi1250,Pipil,Uto-Aztecan,AREAL
Comanche,Americas,coma1245,Comanche,Uto-Aztecan,AREAL
K'iche',Americas,kich1262,K'iche',Mayan,AREAL
Yucatec Maya,Americas,yuca1254,Yucatec Maya,Mayan,AREAL
Tzotzil,Americas,tzot1259,Tzotzil,Mayan,AREAL
Quechua,Americas,quec1387,Quechuan,Quechuan,MANUAL
Aymara,Americas,cent2142,Central Aymara,Aymaran,MANUAL
Aché,Americas,ache1246,Aché,Tupian,AREAL
Amanayé,Americas,aman1266,Amanayé,Tupian,AREAL
Amondawa,Americas,amun1246,Amundava,Tupian,MANUAL
Apiaká,Americas,apia1248,Apiaká,Tupian,AREAL
Mbya Guarani,Americas,mbya1239,Mbyá Guaraní,Tupian,AREAL
Paraguayan Guarani,Americas,para1311,Paraguayan Guaraní,Tupian,AREAL
Old Tupi,Americas,tupi1274,Lingua Geral Paulista,Tupian,MANUAL
Canela,Americas,cane1242,Central-Southern Timbira,Nuclear-Macro-Je,MANUAL
Kaingang,Americas,kain1272,Kaingang,Nuclear-Macro-Je,AREAL
Borôro,Americas,boro1282,Bororo,Bororoan,AREAL
Apalaí,Americas,apal1257,Apalaí,Cariban,AREAL
Baure,Americas,baur1253,Baure,Arawakan,AREAL
Lokono,Americas,araw1276,Lokono,Arawakan,AREAL
Chamicuro,Americas,cham1318,Chamicuro,Arawakan,AREAL
Maléku Jaíka (Chibchan),Americas,male1297,Maléku Jaíka,Chibchan,AREAL
Miskito (Misumalpan),Americas,misk1235,Mískito,Misumalpan,AREAL
Paumarí (Arawan),Americas,paum1247,Paumari,Arawan,AREAL
Catawba (Siouan-Catawban),Americas,cata1286,Catawba,Siouan,AREAL
Taos (Tanoan),Americas,taos1236,Taos,Kiowa-Tanoan,AREAL
Ipai (Yuman),Americas,ipai1240,Ipai,Cochimi-Yuman,AREAL
Tipai (Yuman),Americas,tipa1241,Tipai,Cochimi-Yuman,AREAL
Saanich (Salishan),Americas,saan1246,Saanich,Salishan,AREAL
Lushootseed (Salishan),Americas,lush1252,Northern Lushootseed,Salishan,MANUAL
Wappo (Yuki-Wappo),Americas,wapp1239,Wappo,Yuki-Wappo,AREAL
Eastern Arrernte,Australian,east2379,Eastern Arrernte,Pama-Nyungan,OK
Linngithigh,Australian,leni1238,Linngithigh,Pama-Nyungan,OK
Ngarrindjeri,Australian,narr1259,Narrinyeri,Pama-Nyungan,MANUAL
Pitjantjatjara,Australian,pitj1243,Pitjantjatjara,Pama-Nyungan,OK
Woiwurrung,Australian,woiw1238,Woiwurrung,Pama-Nyungan,OK
Esperanto,Constructed languages,espe1235,Esperanto,Artificial Language,AREAL
Ido,Constructed languages,idoo1234,Ido,Artificial Language,AREAL
Interlingua,Constructed languages,inte1239,Interlingua (International Auxiliary Language Association),Artificial Language,AREAL
Volapük,Constructed languages,vola1234,Volapük,Artificial Language,AREAL
Antillean Creole,Creoles & pidgins,guad1242,Guadeloupe-Martinique Creole French,Indo-European,MANUAL
Haitian Creole,Creoles & pidgins,hait1244,Haitian,Indo-European,MANUAL
Karipúna Creole French,Creoles & pidgins,kari1318,Karipuna Creole French,Indo-European,AREAL
Guinea-Bissau Creole,Creoles & pidgins,uppe1455,Upper Guinea Crioulo,Indo-European,MANUAL
Korlai Creole Portuguese,Creoles & pidgins,korl1238,Korlai Portuguese,Indo-European,MANUAL
Kristang,Creoles & pidgins,mala1533,Malacca-Batavia Portuguese Creole,Indo-European,MANUAL
Macanese,Creoles & pidgins,maca1262,Macanese,Indo-European,AREAL
Aukan,Creoles & pidgins,ndyu1242,Aukan,Indo-European,AREAL
Jamaican Creole,Creoles & pidgins,jama1262,Jamaican Creole English,Indo-European,MANUAL
Sranan Tongo,Creoles & pidgins,sran1240,Sranan Tongo,Indo-European,AREAL
Tok Pisin,Creoles & pidgins,tokp1240,Tok Pisin,Indo-European,AREAL
Yilan Creole,Creoles & pidgins,yila1234,Vernacular Atayalic Japanese,Japonic,MANUAL
