language,glottocode,glottolog_name,glottolog_family,note
Tarifit,tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,Afro-Asiatic,
Tat,musl1236,Muslim Tat,Indo-European,
Ter Sami,ters1235,Ter Saami,Uralic,
Toba Batak,bata1289,Batak Toba,Austronesian,
Tocharian A,tokh1242,Tokharian A,Indo-European,
Tocharian B,tokh1243,Tokharian B,Indo-European,
Tokelauan,toke1240,Tokelau,Austronesian,
Tongan,tong1325,Tonga (Tonga Islands),Austronesian,
Tuvan,tuvi1240,Tuvinian,Turkic,
Ume Sami,umes1235,Ume Saami,Uralic,
Uyghur,uigh1240,Uighur,Turkic,
Venetan,vene1258,Venetian,Indo-European,
Vilamovian,wymy1235,Wymysorys,Indo-European,
Waray-Waray,wara1300,Waray (Philippines),Austronesian,
West Frisian,west2354,Western Frisian,Indo-European,
White Hmong,hmon1333,Hmong Daw,Hmong-Mien,
Wu,wuch1236,Wu Chinese,Sino-Tibetan,Wu Chinese (corrige homônimo do auto-match)
Yaghnobi,yagn1238,Yagnobi,Indo-European,
Yakut,yaku1245,Sakha,Turkic,
Yazghulami,yazg1240,Yazgulyam,Indo-European,
Yiddish,east2295,Eastern Yiddish,Indo-European,iídiche oriental
Yilan Creole,yila1234,Vernacular Atayalic Japanese,Japonic,
Zazaki,diml1238,Dimli,Indo-European,
Zealandic,zeeu1238,Zeeuws,Indo-European,
Zhuang,yong1276,Yongbei Zhuang,Tai-Kadai,Zhuang Yongbei (padrão)
ǃXóõ,huaa1248,East Taa,Tuu,
